  0 -   1: T2
  1 -   2: T2
  2 -   3: T2
  3 -   4: T2
  4 -   5: T2
  5 -   6: T2
  6 -   7: T3
  7 -   8: T3
  8 -   9: T3
  9 -  10: T3
 10 -  11: T2
 11 -  12: T1
 12 -  13: T1
 13 -  14: T1
 14 -  15: T1
 15 -  16: T1
 16 -  17: T1
 17 -  18: T1
 18 -  19: T1
 19 -  20: T1
 20 -  21: T1
 21 -  22: T9
 22 -  23: T9
 23 -  24: T9
 24 -  25: T1
 25 -  26: T1
 26 -  27: T1
 27 -  28: T1
 28 -  29: T1
 29 -  30: T1
 30 -  31: T1
 31 -  32: T1
 32 -  33: T1
 33 -  34: T1
 34 -  35: T8
 35 -  36: T8
 36 -  37: T8
 37 -  38: T8
 38 -  39: T8
 39 -  40: T8
